               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  74,            0.020174,           0.0090532,          0.00067078,             0.93141,             0.90138,             0.92473,             0.61478,            0.028117,           0.0087891,           0.0028369,          0.00087479,          0.00087479,          0.00087479
                  75,            0.020208,           0.0090604,            0.001048,              0.9558,             0.86762,             0.91097,             0.60956,            0.027696,           0.0091419,           0.0026729,          0.00087151,          0.00087151,          0.00087151
                  76,            0.019458,           0.0089155,           0.0012399,             0.93622,             0.87452,             0.91666,             0.61183,            0.028217,           0.0092264,           0.0027777,           0.0008682,           0.0008682,           0.0008682
                  77,            0.019235,           0.0091954,          0.00095176,             0.94197,             0.89013,             0.92155,              0.6077,             0.02845,           0.0089987,           0.0022456,          0.00086485,          0.00086485,          0.00086485
                  78,            0.018593,           0.0085318,          0.00077055,             0.94733,             0.86882,             0.90257,             0.61483,            0.028687,           0.0093562,           0.0023628,          0.00086146,          0.00086146,          0.00086146
                  79,             0.01949,           0.0087006,           0.0010297,             0.93005,             0.87898,             0.91125,             0.61035,            0.028409,           0.0092443,           0.0025113,          0.00085805,          0.00085805,          0.00085805
                  80,            0.019094,           0.0089035,          0.00082556,             0.93756,             0.89753,             0.92472,             0.59561,            0.029724,           0.0094297,           0.0024671,          0.00085459,          0.00085459,          0.00085459
                  81,            0.019007,           0.0087369,          0.00077566,             0.93075,             0.89136,             0.91273,             0.59729,            0.029499,           0.0092575,            0.002231,          0.00085111,          0.00085111,          0.00085111
                  82,            0.019248,           0.0092495,          0.00076801,             0.93647,              0.8914,              0.9122,             0.62333,            0.028124,           0.0089871,           0.0022574,          0.00084759,          0.00084759,          0.00084759
                  83,            0.018411,           0.0085854,          0.00077876,             0.93831,             0.90219,             0.90687,             0.60226,            0.029228,           0.0092282,           0.0022232,          0.00084404,          0.00084404,          0.00084404
