               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  72,            0.030148,            0.011374,           0.0010655,             0.82602,             0.76599,             0.77448,             0.46685,            0.039103,            0.010632,           0.0053358,           0.0098262,           0.0098262,           0.0098262
                  73,            0.030024,            0.012014,          0.00083691,             0.90803,             0.76687,             0.80392,             0.47474,            0.039008,            0.010437,           0.0042712,           0.0098213,           0.0098213,           0.0098213
                  74,            0.029124,            0.011505,          0.00077152,             0.84147,             0.79736,             0.81566,             0.49293,            0.038252,            0.010507,           0.0047045,           0.0098164,           0.0098164,           0.0098164
                  75,            0.028612,            0.011357,           0.0007375,             0.90839,             0.73166,             0.80635,             0.49191,            0.038142,            0.010871,           0.0055806,           0.0098113,           0.0098113,           0.0098113
                  76,            0.028689,            0.011719,           0.0011452,             0.92406,             0.75082,             0.81428,             0.49742,            0.039063,            0.010637,           0.0056931,           0.0098062,           0.0098062,           0.0098062
                  77,            0.029638,             0.01202,          0.00084568,             0.82205,             0.78543,             0.80985,             0.49846,            0.037855,            0.010241,           0.0053626,           0.0098011,           0.0098011,           0.0098011
                  78,             0.02883,            0.011271,          0.00061893,             0.87567,              0.7516,             0.81007,             0.47631,            0.039476,            0.010808,            0.004572,           0.0097958,           0.0097958,           0.0097958
                  79,            0.029068,            0.011665,          0.00083877,             0.82456,             0.77364,             0.80535,             0.49056,            0.041138,            0.010755,            0.004838,           0.0097905,           0.0097905,           0.0097905
                  80,            0.028688,            0.011469,          0.00083828,             0.82629,             0.73643,             0.78525,             0.47165,            0.040446,            0.011435,           0.0060211,           0.0097852,           0.0097852,           0.0097852
                  81,            0.028475,             0.01119,          0.00093392,             0.87477,             0.78194,             0.82363,             0.47898,            0.037655,            0.010801,           0.0036597,           0.0097798,           0.0097798,           0.0097798
                  82,            0.027624,            0.010745,          0.00077261,             0.77774,             0.80936,             0.81296,             0.50662,            0.037269,            0.010379,           0.0040067,           0.0097743,           0.0097743,           0.0097743
                  83,            0.028163,            0.011454,          0.00069569,             0.80109,             0.78411,             0.81408,             0.48481,            0.038272,            0.010636,           0.0040185,           0.0097687,           0.0097687,           0.0097687
                  84,            0.027174,            0.010861,          0.00073408,             0.84985,             0.74257,             0.78636,             0.48517,            0.038673,             0.01172,           0.0045761,           0.0097631,           0.0097631,           0.0097631
                  85,            0.028837,            0.011095,          0.00088274,             0.86366,             0.76637,             0.81236,             0.47921,            0.039555,            0.011064,           0.0038493,           0.0097574,           0.0097574,           0.0097574
                  86,            0.029243,            0.011532,            0.001167,             0.86767,             0.74032,             0.78127,             0.46815,            0.039654,            0.011594,           0.0042432,           0.0097516,           0.0097516,           0.0097516
                  87,            0.028903,            0.011843,          0.00083966,             0.84962,             0.77161,             0.79711,             0.49068,            0.038538,            0.010973,           0.0054463,           0.0097458,           0.0097458,           0.0097458
                  88,            0.027689,            0.011505,          0.00071529,             0.87513,             0.74738,               0.804,             0.48192,            0.037068,            0.010674,           0.0042893,           0.0097399,           0.0097399,           0.0097399
                  89,            0.027049,            0.011274,          0.00066717,             0.82999,             0.78534,             0.79893,             0.49326,             0.03702,            0.010429,           0.0041187,            0.009734,            0.009734,            0.009734
                  90,            0.028712,            0.011022,          0.00077343,             0.81616,             0.78822,             0.79525,             0.48072,            0.037678,            0.010672,           0.0039439,           0.0097279,           0.0097279,           0.0097279
                  91,            0.028238,            0.011351,          0.00081677,             0.86747,             0.78986,             0.80857,             0.48478,            0.037197,            0.010702,           0.0041726,           0.0097219,           0.0097219,           0.0097219
                  92,            0.026932,             0.01107,          0.00084595,             0.90718,             0.72545,             0.78881,             0.47032,             0.03872,            0.011281,           0.0085648,           0.0097157,           0.0097157,           0.0097157
                  93,            0.027636,            0.011289,          0.00077724,             0.85098,              0.7762,             0.78726,             0.49333,             0.03779,            0.011163,           0.0062441,           0.0097095,           0.0097095,           0.0097095
                  94,            0.027076,             0.01032,          0.00072546,             0.85102,             0.75487,             0.78334,             0.49662,            0.038111,            0.011607,           0.0061977,           0.0097032,           0.0097032,           0.0097032
                  95,            0.026585,            0.011553,          0.00085858,             0.86163,             0.76839,             0.81149,             0.48892,            0.037502,            0.011055,           0.0051518,           0.0096969,           0.0096969,           0.0096969
                  96,            0.027531,            0.010893,          0.00076434,             0.81559,             0.80818,             0.80707,             0.47188,            0.038634,            0.010625,           0.0045279,           0.0096905,           0.0096905,           0.0096905
                  97,            0.027659,            0.010895,          0.00083231,             0.81265,             0.77885,             0.79534,             0.47837,              0.0387,            0.010265,           0.0040826,            0.009684,            0.009684,            0.009684
                  98,            0.027834,            0.010932,          0.00074147,              0.7906,             0.80785,              0.7903,             0.49243,            0.037478,            0.011081,           0.0048862,           0.0096775,           0.0096775,           0.0096775
                  99,            0.027829,            0.011339,          0.00073411,             0.82929,             0.78988,             0.79415,             0.49034,            0.037006,            0.010729,           0.0041453,           0.0096709,           0.0096709,           0.0096709
                 100,            0.026955,            0.011214,          0.00062095,               0.843,              0.8097,             0.82837,             0.50896,            0.037711,            0.010007,           0.0043193,           0.0096642,           0.0096642,           0.0096642
                 101,            0.026415,            0.011189,          0.00059296,             0.85547,             0.77219,             0.78992,             0.50515,            0.037615,            0.010686,            0.004189,           0.0096575,           0.0096575,           0.0096575
                 102,            0.026825,            0.011003,          0.00059799,             0.86759,             0.76671,             0.78601,             0.49343,             0.04113,            0.011041,           0.0071766,           0.0096507,           0.0096507,           0.0096507
                 103,             0.02771,            0.010501,          0.00074718,             0.84556,             0.77991,             0.80227,             0.48536,            0.038519,            0.010687,           0.0043716,           0.0096438,           0.0096438,           0.0096438
                 104,            0.027517,             0.01068,          0.00064761,             0.86287,             0.78113,             0.81615,             0.50436,            0.038289,            0.010409,           0.0048509,           0.0096369,           0.0096369,           0.0096369
                 105,            0.027185,            0.010863,           0.0005437,             0.87718,              0.7305,             0.77574,             0.47045,            0.039344,            0.011844,           0.0065995,           0.0096299,           0.0096299,           0.0096299
                 106,            0.026393,             0.01085,          0.00057609,             0.80259,             0.83116,             0.82288,              0.5047,            0.038198,            0.010254,           0.0043047,           0.0096228,           0.0096228,           0.0096228
                 107,            0.026718,            0.010943,          0.00088508,             0.83121,             0.77747,             0.80307,             0.51219,            0.036792,            0.011295,           0.0041515,           0.0096157,           0.0096157,           0.0096157
                 108,            0.025562,            0.010197,          0.00070801,             0.85127,             0.77862,             0.79836,             0.49039,            0.038126,            0.011312,           0.0048832,           0.0096086,           0.0096086,           0.0096086
                 109,            0.026338,            0.011181,          0.00081806,             0.82984,             0.77312,             0.80582,             0.47768,            0.038928,            0.010789,           0.0050609,           0.0096013,           0.0096013,           0.0096013
                 110,            0.025614,            0.010948,           0.0008306,             0.86651,             0.76545,             0.80705,             0.49285,            0.037579,            0.010492,           0.0044184,            0.009594,            0.009594,            0.009594
                 111,            0.026342,            0.010699,          0.00079336,             0.89354,             0.74882,             0.80762,             0.48364,            0.038784,           0.0099386,           0.0042405,           0.0095866,           0.0095866,           0.0095866
                 112,            0.025439,            0.010648,          0.00079147,              0.8541,             0.77038,             0.79733,             0.48727,            0.038299,            0.010337,           0.0044069,           0.0095792,           0.0095792,           0.0095792
                 113,            0.026263,            0.010656,          0.00061946,             0.80116,             0.78746,             0.79365,             0.49248,            0.037123,            0.010979,           0.0043868,           0.0095717,           0.0095717,           0.0095717
                 114,            0.025982,            0.010513,          0.00080082,             0.80916,             0.77674,             0.80226,              0.5055,            0.038041,            0.011278,           0.0049717,           0.0095642,           0.0095642,           0.0095642
                 115,            0.026268,            0.010595,          0.00072586,             0.87926,             0.76111,             0.79821,             0.50454,            0.037587,            0.010376,           0.0045614,           0.0095565,           0.0095565,           0.0095565
                 116,            0.026611,              0.0108,          0.00075569,             0.79583,             0.81015,             0.80028,             0.49728,            0.038245,            0.010543,           0.0043801,           0.0095489,           0.0095489,           0.0095489
                 117,            0.025332,            0.010488,          0.00055843,             0.81804,             0.75742,             0.78427,             0.47994,            0.038967,            0.010948,           0.0052323,           0.0095411,           0.0095411,           0.0095411
                 118,            0.025926,             0.01041,          0.00051027,             0.84628,             0.79599,             0.81606,             0.51576,            0.036779,            0.010522,            0.004129,           0.0095333,           0.0095333,           0.0095333
                 119,            0.025805,            0.009901,          0.00067875,             0.84114,             0.76422,              0.7879,             0.49079,            0.038249,            0.011447,           0.0046575,           0.0095255,           0.0095255,           0.0095255
                 120,            0.025742,            0.010193,          0.00060992,              0.8466,             0.75686,             0.79834,             0.48961,            0.039138,            0.010561,            0.004262,           0.0095175,           0.0095175,           0.0095175
                 121,            0.025773,            0.010618,          0.00063239,             0.90145,             0.73125,             0.79756,             0.50993,             0.03718,            0.010279,           0.0046611,           0.0095095,           0.0095095,           0.0095095
                 122,            0.025849,            0.010208,          0.00073165,             0.84854,             0.75737,              0.7909,             0.48565,            0.037743,            0.010762,           0.0052136,           0.0095015,           0.0095015,           0.0095015
                 123,            0.025268,            0.010469,          0.00071054,             0.87623,             0.75847,             0.78756,             0.49407,            0.038257,             0.01098,           0.0064019,           0.0094934,           0.0094934,           0.0094934
                 124,            0.024814,            0.010281,          0.00057325,             0.83819,             0.81342,             0.79649,             0.49028,            0.037459,             0.01077,           0.0049922,           0.0094852,           0.0094852,           0.0094852
                 125,            0.025444,            0.010199,           0.0005836,             0.84805,             0.75575,              0.8152,             0.49281,            0.036575,            0.010827,           0.0046952,           0.0094769,           0.0094769,           0.0094769
                 126,            0.025203,            0.010486,           0.0006127,             0.83456,             0.75821,             0.80596,             0.50037,            0.037721,            0.010517,           0.0042968,           0.0094686,           0.0094686,           0.0094686
                 127,            0.025592,            0.010719,          0.00054285,             0.85665,              0.7548,             0.78981,             0.49926,            0.036715,            0.011046,           0.0044404,           0.0094603,           0.0094603,           0.0094603
                 128,            0.025249,            0.010085,          0.00053477,             0.84583,             0.80312,              0.7958,             0.47801,            0.037266,            0.010778,           0.0046228,           0.0094519,           0.0094519,           0.0094519
                 129,            0.025555,            0.010356,          0.00064044,             0.90657,             0.73371,              0.7879,             0.48959,            0.037326,            0.011217,           0.0052156,           0.0094434,           0.0094434,           0.0094434
                 130,            0.024946,            0.010004,          0.00058002,             0.87604,             0.73212,             0.79342,              0.4862,            0.038134,            0.011196,           0.0051884,           0.0094348,           0.0094348,           0.0094348
                 131,            0.025301,            0.010436,          0.00059077,             0.84589,             0.75423,             0.80302,             0.48954,            0.038538,            0.011491,            0.005376,           0.0094262,           0.0094262,           0.0094262
                 132,            0.024803,           0.0098673,           0.0005086,             0.84918,             0.78607,             0.80376,             0.49151,            0.037937,            0.011184,           0.0044775,           0.0094176,           0.0094176,           0.0094176
                 133,            0.024713,           0.0099522,          0.00060697,             0.84185,             0.76825,             0.79486,             0.48366,            0.037368,            0.011547,            0.005047,           0.0094088,           0.0094088,           0.0094088
                 134,            0.024947,            0.010159,          0.00079986,             0.86819,             0.74064,             0.78068,              0.4739,            0.038623,            0.011897,           0.0070187,           0.0094001,           0.0094001,           0.0094001
                 135,            0.025015,            0.010493,           0.0005408,             0.84373,             0.75194,             0.79973,             0.48802,            0.039118,             0.01135,           0.0059399,           0.0093912,           0.0093912,           0.0093912
                 136,            0.024713,            0.010232,          0.00058698,             0.84317,             0.75766,             0.80291,             0.47159,            0.038752,            0.011944,           0.0047258,           0.0093823,           0.0093823,           0.0093823
                 137,            0.024566,            0.010312,          0.00071631,             0.81915,             0.79842,             0.80782,             0.49616,            0.037937,            0.010329,           0.0053086,           0.0093733,           0.0093733,           0.0093733
                 138,            0.024259,            0.010067,          0.00064521,             0.84082,             0.77072,              0.8027,             0.50396,            0.036838,            0.011083,           0.0046081,           0.0093643,           0.0093643,           0.0093643
                 139,            0.024677,                0.01,          0.00055256,              0.8828,             0.77417,             0.81556,             0.50184,            0.037574,            0.011126,           0.0042626,           0.0093552,           0.0093552,           0.0093552
                 140,            0.023963,           0.0094341,          0.00060577,             0.84577,             0.78278,             0.80883,             0.50632,            0.037324,            0.011608,           0.0049104,           0.0093461,           0.0093461,           0.0093461
                 141,            0.023388,            0.010049,          0.00050129,              0.8408,             0.78404,             0.81101,             0.51931,            0.037649,            0.011151,           0.0058617,           0.0093369,           0.0093369,           0.0093369
                 142,            0.024108,            0.010715,          0.00059786,             0.85069,             0.76457,             0.80061,             0.50244,            0.037435,            0.011367,           0.0062077,           0.0093276,           0.0093276,           0.0093276
                 143,            0.024393,           0.0097449,          0.00050566,             0.82877,             0.77862,             0.79771,             0.50114,            0.038161,             0.01122,           0.0057468,           0.0093183,           0.0093183,           0.0093183
                 144,            0.024965,            0.010533,          0.00051768,             0.82679,             0.77627,             0.79286,             0.48832,            0.038511,            0.012044,           0.0082209,           0.0093089,           0.0093089,           0.0093089
                 145,            0.024456,            0.010174,           0.0005697,             0.83088,               0.772,             0.79337,             0.48877,            0.038592,            0.012021,           0.0075553,           0.0092995,           0.0092995,           0.0092995
                 146,            0.023973,           0.0098075,          0.00071929,             0.84454,             0.75446,              0.7904,             0.48246,            0.038317,            0.011356,           0.0060168,             0.00929,             0.00929,             0.00929
                 147,            0.024541,            0.010093,          0.00063829,              0.8248,             0.79257,             0.79709,             0.49154,            0.037007,            0.011227,             0.00456,           0.0092804,           0.0092804,           0.0092804
                 148,            0.024081,           0.0096694,          0.00053958,             0.88976,             0.75008,             0.80539,             0.47559,            0.038516,            0.011102,           0.0067084,           0.0092708,           0.0092708,           0.0092708
                 149,            0.023956,           0.0099179,          0.00056673,             0.89033,             0.74031,             0.79359,             0.48457,            0.037094,            0.011071,           0.0069398,           0.0092611,           0.0092611,           0.0092611
                 150,             0.02347,            0.010321,          0.00061592,             0.85692,             0.77582,             0.78541,             0.48894,            0.038194,            0.011708,           0.0090409,           0.0092514,           0.0092514,           0.0092514
                 151,             0.02322,           0.0092044,          0.00055326,             0.87574,             0.79795,              0.8139,              0.5022,            0.036987,            0.011279,           0.0054766,           0.0092416,           0.0092416,           0.0092416
                 152,            0.023777,            0.010006,          0.00049931,             0.85459,             0.75996,             0.79345,              0.4874,            0.036977,            0.011548,           0.0063537,           0.0092318,           0.0092318,           0.0092318
                 153,            0.023823,           0.0097071,          0.00051391,             0.84583,              0.7541,             0.77825,             0.45447,             0.03863,            0.012175,           0.0057086,           0.0092219,           0.0092219,           0.0092219
                 154,            0.023414,            0.010046,          0.00049917,             0.82703,             0.78587,             0.78889,             0.49942,            0.037675,            0.011087,           0.0051349,           0.0092119,           0.0092119,           0.0092119
                 155,             0.02327,           0.0096502,          0.00044337,             0.84786,             0.76953,             0.78563,             0.50077,            0.036802,            0.011261,           0.0051665,           0.0092019,           0.0092019,           0.0092019
